outcome_id,cesi_measure,model,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
SLEEP,practice_cesi,OLS,0.008304527927704048,0.017690197378722048,0.6388020074174128,2116,38,1,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,practice_cesi,State fixed effects,-0.0611078181226699,0.020024144921838405,0.004195455079993857,2116,38,0.12166819731982186,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,OLS,0.06847183125951062,0.02129627988889217,0.0013306884816550928,1540,39,0.017298950261516205,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,State fixed effects,0.10494710102586331,0.04194401560283298,0.01676919855258086,1540,39,0.46953755947226405,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,OLS,0.03523217765325421,0.012553566944146057,0.0050535602522899185,2116,38,0.09601764479350845,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,State fixed effects,0.018409978002641724,0.012397442275363369,0.14601934928579038,2116,38,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,OLS,-0.08346006705251499,0.013739886082379046,1.5678458497617168e-9,1540,39,3.6060454544519484e-8,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,State fixed effects,-0.07825831218238437,0.033093213852890595,0.023250400284408834,1540,39,0.5946801837817568,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,practice_cesi,OLS,-0.02398983916302009,0.018153452892623056,0.18647710019252722,2116,38,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,practice_cesi,State fixed effects,0.008429164132644827,0.0206932977719525,0.6861070176899544,2116,38,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,meaning_cesi,OLS,-0.13396772839750265,0.020058520930333168,3.358432628778776e-11,1540,39,8.39608157194694e-10,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
MHLTH,meaning_cesi,State fixed effects,0.013651923122494311,0.02349346654266683,0.5646077676414873,1540,39,1,CDC PLACES 2024,Frequent Mental Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,practice_cesi,OLS,-1.7050879596528456e-4,0.015112199766323645,0.9909988403754353,2116,38,1,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,practice_cesi,State fixed effects,0.018183478748190995,0.017288899840591242,0.29973823233776836,2116,38,1,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,meaning_cesi,OLS,-0.16253431978404947,0.016449612116182517,2.3119709615157846e-22,1540,39,8.091898365305247e-21,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
PHLTH,meaning_cesi,State fixed effects,-0.08472877497236267,0.02401935032129279,0.0011146318087373818,1540,39,0.04124137692328313,CDC PLACES 2024,Frequent Physical Distress,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,practice_cesi,OLS,0.047671192542048914,0.016163967625895788,0.0032207602827629507,2116,38,0.06441520565525902,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,practice_cesi,State fixed effects,-0.006585412338133483,0.01217785439490287,0.5919073813273812,2116,38,1,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,meaning_cesi,OLS,0.09654961352958907,0.019340495447317165,6.654838568508575e-7,1540,39,1.1978709423315436e-5,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
EMOTIONSPT,meaning_cesi,State fixed effects,0.05897524683579414,0.02486546664065162,0.0228723147608368,1540,39,0.5946801837817568,CDC PLACES 2024,Lack of Social/Emotional Support,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,practice_cesi,OLS,-0.11019566506204231,0.022457948149088587,9.96854498010424e-7,2116,38,3.389305293235442e-5,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,practice_cesi,State fixed effects,-0.028836680098441682,0.018716078426970508,0.13188907002745906,2116,38,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,meaning_cesi,OLS,-0.13478188742044064,0.026607032327869474,4.563304604356475e-7,1540,39,8.670278748277302e-6,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
