outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
OBESITY,meaning_cesi,Between states,0.24454468193504045,0.10094248700019018,0.020335083375298338,1540,39,0.5693823345083535,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,Within state,-0.0587826278492655,0.011107903078660589,1.337060525992872e-7,2116,38,4.679711840975052e-6,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,Between states,-0.007479293342660874,0.04278086684135572,0.8620988559487475,2116,38,1,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,Within state,0.0424702648425393,0.012580976092371575,7.544923932996756e-4,1540,39,0.01584434025929319,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,Between states,0.10525933718795324,0.03792826048753475,0.008220235260690633,1540,39,0.2712677636027909,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,Within state,-0.023292352998635378,0.014157147957969289,0.10006456827084412,2116,38,1,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,Between states,-0.03377691836814969,0.05226708916385903,0.5219063819347501,2116,38,1,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,Within state,0.027206011363234892,0.016570011498980117,0.10081927235555099,1540,39,0.8065541788444079,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,Between states,-0.0071087565632155505,0.053832164247553736,0.8955829164767907,1540,39,1,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,Within state,0.011233199304326206,0.0075633718506136404,0.1376398190726439,2116,38,1,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,Between states,-0.280875235246515,0.10586498387916292,0.011763223008221193,2116,38,0.4705289203288477,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,Within state,-0.02445364559399236,0.00986484177837247,0.013288989494297439,1540,39,0.18604585292016415,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,Between states,-0.20187016205186326,0.12400396143879949,0.1118880710602286,1540,39,1,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,Within state,0.009339467409437812,0.011921704198180854,0.4334811399408808,2116,38,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,Between states,-0.14379067251250624,0.0657788964352227,0.034923674510591654,2116,38,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,Within state,0.024985520282759736,0.013535496790118576,0.06509764189015618,1540,39,0.6509764189015619,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,Between states,0.01557670369793255,0.07366464416700262,0.8336136232227154,1540,39,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
