county_fips,county_population22,county_age22,county_income22,county_bachelor22,county_hs22
13013,84399,36.2,75053,0.21175035,0.87603632
13015,109410,38.2,74812,0.210324943,0.87874067
13017,17169,38.7,38255,0.121978786,0.83741958
13019,18187,39.8,48670,0.148314968,0.81299767
13021,156554,36.5,48897,0.258574047,0.86543328
13023,12413,37.7,56021,0.185621396,0.87927862
13025,18105,40.2,40166,0.103242728,0.79581942
13027,16275,42.6,42263,0.146744837,0.82525376
13029,44995,34.4,90627,0.33903235,0.92370176
13031,79829,29.7,53675,0.296283139,0.88705093
13033,24337,38.8,50321,0.146560575,0.84670175
13035,25522,38.7,60076,0.130617036,0.8372457
13037,5594,39.2,48663,0.113722697,0.76187085
13039,55105,34,68104,0.216604262,0.9254244
13043,10946,41.6,45519,0.122301175,0.77507516
13045,120060,35.2,66895,0.212318916,0.84530098
13047,68052,40.8,68896,0.23235851,0.89461393
13049,12547,39.4,45770,0.121306376,0.84092424
13051,296266,36.7,66171,0.360720126,0.91424294
13053,9402,23.9,52943,0.300134892,0.95953237
13055,24902,40.2,43556,0.094739279,0.73192893
13057,268567,39.7,100824,0.394988054,0.92174425
13059,128864,28.9,48692,0.479478605,0.89866921
13061,2855,42.7,43264,0.165717245,0.83221129
13063,296312,33,56207,0.206080626,0.85471486
13065,6713,38.4,53350,0.128796276,0.73974728
13067,765813,37.2,94244,0.496963925,0.93031842
13069,43056,36.4,48398,0.128870849,0.78281255
13071,45813,37.1,47235,0.147099193,0.77694085
13073,156921,37.4,92571,0.374297411,0.93200752
13075,17242,37.3,46706,0.160067924,0.81946555
13077,147449,39.1,90031,0.341464874,0.9077351
13079,12156,45.8,56948,0.112727273,0.80997067
13081,20255,40.4,47463,0.140912085,0.82168216
13083,16239,42.5,59531,0.183106074,0.8644413
13085,27355,43.9,84516,0.354614638,0.87997344
13087,29063,38.3,47383,0.149870265,0.82314478
13089,761209,36.3,76044,0.46658234,0.91117137
13091,19977,42,46091,0.147456804,0.86593574
13093,11236,45.1,54109,0.13041954,0.82821082
13095,85038,36.2,45640,0.232914923,0.8389393
13097,144735,36.7,76930,0.298610298,0.90309355
13099,10753,40.4,48355,0.139918296,0.79778232
13101,3707,34.7,61184,0.139586085,0.82386614
13103,65314,36.4,79474,0.251879787,0.90140779
13105,19570,42.8,48190,0.140650815,0.81703901
13107,22907,37.4,47905,0.116087213,0.79133111
13109,10759,36.6,55222,0.163584229,0.7902509
13111,25436,53.8,54857,0.232047538,0.87813476
13113,119259,43.2,105910,0.472457653,0.95307191
13115,98541,38,57868,0.223104043,0.84153172
13117,253225,39.2,131660,0.561950449,0.93910119
13119,23480,40.9,52597,0.168452717,0.80879865
13121,1061944,36.1,86267,0.570540913,0.93602307
13123,31519,49.6,70334,0.234150501,0.8597314
13125,2903,43.2,60469,0.129340715,0.82184197
13127,84566,43.3,65970,0.306207607,0.8815002
13129,57785,39.1,57555,0.166820112,0.7785791
13131,26075,39.8,51929,0.15815663,0.80932994
13133,19020,51.2,77527,0.334228188,0.88060756
13135,957977,35.7,82296,0.389099815,0.88191874
13137,46326,39,61292,0.22942285,0.80711616
13139,204953,37.8,74153,0.254950239,0.81050826
13141,8588,46,31767,0.096255874,0.7509474
13143,30178,39.2,65940,0.178657421,0.84099008
13145,34914,43.2,85936,0.324196636,0.93430538
13147,26110,45.1,61765,0.182585448,0.82858042
13149,11489,40.7,62965,0.11608053,0.84072375
13151,240853,36.9,79663,0.27490716,0.9246883
13153,164117,36.1,76968,0.320039705,0.92980259
13155,9487,39.8,46383,0.168172768,0.81742993
13157,77033,37.9,82056,0.265239038,0.8780108
13159,14882,42.2,57374,0.183006536,0.89620525
13161,14791,39.1,41780,0.115056087,0.80580426
13163,15591,40.7,46865,0.108151659,0.80436019
13165,8704,44,31463,0.090510065,0.81549871
13167,9225,42.7,47796,0.094972908,0.76249247
13169,28382,41.3,66288,0.178856417,0.91618806
13171,18676,37.6,64966,0.174869622,0.89439374
13173,9964,36.5,39971,0.184198508,0.86816867
13175,49407,39.2,46776,0.170772153,0.86492598
13177,32968,37,83632,0.326375176,0.91946403
13179,65550,28.6,55149,0.202208803,0.9219768
13181,7726,47.1,50754,0.162423178,0.87234416
13183,16804,34.4,56819,0.12962963,0.83824074
13185,118257,30.9,52821,0.260860261,0.89641201
13187,33405,35.9,67592,0.320271833,0.87560247
13189,21715,38.5,54752,0.183815029,0.85535532
13191,11183,51.8,51262,0.178091398,0.82538082
13193,12099,40.1,33960,0.10061435,0.7260925
13195,30378,40.2,53626,0.195894626,0.83112201
13197,7508,43.8,48836,0.121869783,0.75904285
13199,20679,43.6,52392,0.131227547,0.82925507
13201,5923,43.2,52132,0.196709234,0.8268664
13205,21634,39.5,45966,0.122872703,0.83451327
13207,28287,42.6,74867,0.285577263,0.88429502
13209,8687,37.5,49138,0.195838433,0.83895786
13211,20171,43.1,81524,0.298768182,0.89372956
13213,40063,39.7,60617,0.113515313,0.76150318
13215,204572,34.9,54561,0.284204808,0.88548914
13217,113298,36.4,70732,0.225779529,0.89666024
13219,41978,41.2,116221,0.534595086,0.95483167
13221,14974,42.2,66672,0.226651481,0.87443052
13223,169898,36.6,89237,0.265445486,0.91008729
13225,28054,38.1,60940,0.228991947,0.85998334
13227,33439,46.3,72558,0.242822918,0.9005563
13229,19822,39.8,54861,0.170000755,0.86698875
13231,19145,40.2,83866,0.201516544,0.88066789
13233,43019,37.9,51956,0.143552908,0.8289068
13235,9887,42.2,42545,0.128804348,0.8076087
13237,22206,48.6,60825,0.25596556,0.87626076
13239,2180,59.1,38889,0.109467456,0.79112426
13241,16915,49.4,57261,0.280437756,0.89192886
13243,6365,39,24638,0.124261753,0.81148122
13245,206153,34.8,50605,0.235556178,0.87578277
13247,93641,39,68999,0.281258489,0.89545084
13249,4565,38.4,53274,0.179529646,0.85094402
13251,14026,41.9,49941,0.157268293,0.84926829
13253,9117,45,46063,0.170050761,0.87936698
13255,67415,38.9,57367,0.18317239,0.83633569
13257,26732,41.9,52901,0.159943228,0.83656313
13259,5121,37.4,43094,0.158058345,0.72572932
13261,29378,36.9,38899,0.221753475,0.83736276
13263,5793,49.9,48065,0.153933348,0.83427794
13265,1635,47.2,45881,0.114615385,0.84307692
13267,24309,38.1,51868,0.13975137,0.78283156
13269,7799,43.2,40727,0.163283798,0.73994201
13271,12619,40.1,41801,0.080469019,0.75456949
13273,9004,40.5,43507,0.129748397,0.81861536
13275,45665,39.9,55958,0.238217625,0.8632377
13277,41247,36.5,52561,0.187159028,0.83919094
13279,26946,37.5,47310,0.163670001,0.82962363
13281,12546,56.3,55574,0.319866025,0.92233619
13283,6411,43.2,38641,0.13699262,0.73570111
13285,69527,37.2,53599,0.203091224,0.88251189
13287,8894,38.9,39666,0.105080258,0.79546583
13289,7955,45.9,50446,0.106467662,0.79303483
13291,24880,55.9,59783,0.254875932,0.88165016
13293,27638,41.5,48740,0.15373714,0.84416334
13295,68065,42,52276,0.196691138,0.85034825
13297,97752,39.4,79425,0.242779495,0.8705714
13299,35917,37.9,44138,0.151367228,0.81591031
13301,5197,45.3,45091,0.110509209,0.72074756
13303,19975,40.8,43810,0.174249964,0.84195933
13305,30277,38.7,49847,0.141242659,0.85466121
13307,2354,42.6,35000,0.093036864,0.81158572
13309,7550,33.9,36354,0.127504174,0.76481636
13311,28165,45.3,66256,0.231251882,0.85623933
13313,103033,36.4,59659,0.185770751,0.7427686
13315,8839,41.4,46759,0.136272545,0.80437799
13317,9610,45.5,51780,0.156379187,0.82622951
13319,8852,42.2,40757,0.12054884,0.89382555
13321,20706,41.6,56496,0.095086505,0.85453287
15001,202163,43.3,74238,0.306634862,0.92901166
15003,1010100,38.8,99816,0.366381445,0.92706903
15005,50,43.3,87813,0.34,0.92
15007,73511,42.3,88869,0.303704969,0.92502752
15009,164765,42.2,95379,0.301358385,0.92543693
16001,497494,38.1,83881,0.427602961,0.9530245
16003,4464,54.4,55891,0.212955001,0.94038406
16005,87434,34.7,60998,0.295100442,0.93379604
