county_fips,pop_total,pop_density,area_land,median_income
13191,11183,25.92574,431.3473205,51262
13193,12099,30.19752,400.6620695,33960
13195,30378,107.6,282.3235196,53626
13197,7508,20.52929,365.7213176,48836
13199,20679,41.28315,500.9065988,52392
13201,5923,20.9721,282.4228313,52132
13205,21634,42.24087,512.1579992,45966
13207,28287,71.4153,396.0915834,74867
13209,8687,36.02394,241.1451605,49138
13211,20171,58.06086,347.4113023,81524
13213,40063,116.2952,344.4940996,60617
13215,204572,944.9066,216.4997089,54561
13217,113298,413.7767,273.8143466,70732
13219,41978,227.7183,184.3418085,116221
13221,14974,34.10452,439.0620003,66672
13223,169898,543.934,312.3504325,89237
13225,28054,186.6732,150.2840137,60940
13227,33439,144.0967,232.0593918,72558
13229,19822,58.2219,340.456101,54861
13231,19145,88.59893,216.0861286,83866
13233,43019,138.6192,310.3395135,51956
13235,9887,39.66519,249.2613618,42545
13237,22206,64.42464,344.6818008,60825
13239,2180,14.41442,151.237408,38889
13241,16915,45.6996,370.1344964,57261
13243,6365,14.8633,428.236066,24638
13245,206153,635.6078,324.3399614,50605
13247,93641,721.3219,129.8185968,68999
13249,4565,27.3503,166.9085725,53274
13251,14026,21.71809,645.8210123,49941
13253,9117,38.37994,237.5459964,46063
13255,67415,344.0059,195.9704894,57367
13257,26732,149.456,178.8619499,52901
13259,5121,11.16298,458.7484915,43094
13261,29378,60.83948,482.8772458,38899
13263,5793,14.80157,391.3774056,48065
13265,1635,8.401559,194.6067518,45881
13267,24309,50.55529,480.8398618,51868
13269,7799,20.70423,376.6863476,40727
13271,12619,28.85613,437.3074532,41801
13273,9004,26.81426,335.791443,43507
13275,45665,83.84547,544.6328863,55958
13277,41247,158.101,260.8901169,52561
13279,26946,74.02493,364.0125097,47310
13281,12546,75.36095,166.4787945,55574
13283,6411,32.14644,199.4310769,38641
13285,69527,167.936,414.0089483,53599
13287,8894,31.16138,285.4174521,39666
13289,7955,22.14276,359.2596105,50446
13291,24880,77.2466,322.0853965,59783
13293,27638,85.44311,323.466691,48740
13295,68065,152.5144,446.2857805,52276
13297,97752,299.0999,326.8205783,79425
13299,35917,39.94151,899.2399471,44138
13301,5197,18.27626,284.3579136,45091
13303,19975,29.43882,678.5259051,43810
13305,30277,47.1742,641.8126663,49847
13307,2354,11.22784,209.6573853,35000
13309,7550,25.55082,295.489542,36354
13311,28165,116.9914,240.7442073,66256
13313,103033,354.7421,290.444836,59659
13315,8839,23.39531,377.810776,46759
13317,9610,20.46855,469.5007884,51780
13319,8852,19.70551,449.2143747,40757
13321,20706,36.2823,570.6914349,56496
15001,202163,50.18406,4028.430711,74238
15003,1010100,1681.45,600.7313455,99816
15005,50,4.169652,11.99140845,87813
15007,73511,118.5987,619.8298247,88869
15009,164765,141.8505,1161.53985,95379
16001,497494,472.8965,1052.014635,83881
16003,4464,3.275597,1362.805116,55891
16005,87434,78.59305,1112.49022,60998
16007,6436,6.596102,975.727764,63244
16009,9731,12.52492,776.9313773,54191
16011,48253,23.0464,2093.732487,69433
16013,24248,9.192725,2637.737973,81794
16015,7809,4.110961,1899.555686,70776
16017,47976,27.68026,1733.220546,61816
16019,124490,66.71587,1865.972877,73103
16021,12335,9.722713,1268.678817,58810
16023,2605,1.164773,2236.486853,37358
16025,1133,1.054705,1074.234253,63750
16027,235006,400.3171,587.0496141,68473
16029,7058,4.000694,1764.193724,65380
16031,24859,9.689316,2565.60949,63525
16033,756,0.4287792,1763.145009,53500
16035,8810,3.585216,2457.313674,55885
16037,4344,0.8825364,4922.176912,60357
16039,28752,9.350004,3075.078933,55000
16041,14376,21.68264,663.0189545,61679
